Frame,Timestamp,Plant,Disease,Confidence,Source
10715,2026-02-03T14:53:40,Unknown,Tomato leaf late blight,0.6411,webcam
10716,2026-02-03T14:53:40,Unknown,Tomato leaf late blight,0.5097,webcam
10717,2026-02-03T14:53:40,Unknown,Tomato leaf late blight,0.6553,webcam
10732,2026-02-03T14:53:42,Unknown,Tomato leaf late blight,0.8360,webcam
10733,2026-02-03T14:53:42,Unknown,Tomato leaf late blight,0.8558,webcam
10734,2026-02-03T14:53:43,Unknown,Tomato leaf late blight,0.8479,webcam
10735,2026-02-03T14:53:43,Unknown,Tomato leaf late blight,0.8174,webcam
10736,2026-02-03T14:53:43,Unknown,Tomato leaf late blight,0.8223,webcam
10737,2026-02-03T14:53:43,Unknown,Tomato leaf late blight,0.7199,webcam
10738,2026-02-03T14:53:43,Unknown,Tomato leaf late blight,0.7580,webcam
10739,2026-02-03T14:53:43,Unknown,Tomato leaf late blight,0.5156,webcam
10741,2026-02-03T14:53:43,Unknown,Tomato leaf late blight,0.5982,webcam
10742,2026-02-03T14:53:44,Unknown,Tomato leaf late blight,0.6874,webcam
10744,2026-02-03T14:53:44,Unknown,Tomato leaf late blight,0.5573,webcam
10745,2026-02-03T14:53:44,Unknown,Tomato leaf late blight,0.5549,webcam
10747,2026-02-03T14:53:44,Unknown,Tomato leaf late blight,0.5608,webcam
10791,2026-02-03T14:53:50,Unknown,Tomato leaf late blight,0.5788,webcam
10817,2026-02-03T14:53:53,Unknown,Tomato leaf late blight,0.5540,webcam
10933,2026-02-03T14:54:07,Unknown,Tomato leaf late blight,0.6172,webcam
10938,2026-02-03T14:54:08,Unknown,Tomato leaf late blight,0.7091,webcam
10939,2026-02-03T14:54:08,Unknown,Tomato leaf late blight,0.7406,webcam
10940,2026-02-03T14:54:08,Unknown,Tomato leaf late blight,0.6329,webcam
10941,2026-02-03T14:54:08,Unknown,Tomato leaf late blight,0.6329,webcam
10942,2026-02-03T14:54:09,Unknown,Tomato leaf late blight,0.5692,webcam
10943,2026-02-03T14:54:09,Unknown,Tomato leaf late blight,0.6382,webcam
10944,2026-02-03T14:54:09,Unknown,Tomato leaf late blight,0.5695,webcam
10968,2026-02-03T14:54:12,Unknown,Tomato leaf late blight,0.5185,webcam
10969,2026-02-03T14:54:12,Unknown,Tomato leaf late blight,0.5185,webcam
11144,2026-02-03T14:54:33,Unknown,Tomato leaf late blight,0.6483,webcam
11144,2026-02-03T14:54:34,Unknown,Tomato leaf late blight,0.5689,webcam
11145,2026-02-03T14:54:34,Unknown,Tomato leaf late blight,0.5575,webcam
11148,2026-02-03T14:54:34,Unknown,Tomato leaf late blight,0.5106,webcam
11153,2026-02-03T14:54:35,Unknown,Tomato leaf late blight,0.5095,webcam
11163,2026-02-03T14:54:36,Unknown,Tomato leaf late blight,0.5118,webcam
11164,2026-02-03T14:54:36,Unknown,Tomato leaf late blight,0.5492,webcam
11173,2026-02-03T14:54:37,Unknown,Tomato leaf late blight,0.5873,webcam
11179,2026-02-03T14:54:38,Unknown,Tomato leaf late blight,0.5509,webcam
11180,2026-02-03T14:54:38,Unknown,Tomato leaf late blight,0.5666,webcam
